CODESC;NOMESC;Dir;MUN;NIVEL SOCIOECONOMICO DOS ALUNOS
12;AYRES DE MOURA PROFESSOR;NORTE 1;SAO PAULO;2,71
24;GAVIAO PEIXOTO BRIGADEIRO;NORTE 1;SAO PAULO;3,93
36;JOAO SOLIMEO;NORTE 1;SAO PAULO;4,02
48;WALFREDO ARANTES CALDAS PROFESSOR;NORTE 1;SAO PAULO;4,27
59;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;NORTE 1;SAO PAULO;4,04
61;SUZANA DE CAMPOS DONA;NORTE 1;SAO PAULO;4,55
73;JULIO DE FARIA E SOUZA PROFESSOR;NORTE 1;SAO PAULO;4,19
85;JULIO CESAR DE OLIVEIRA PROFESSOR;NORTE 1;SAO PAULO;3,86
97;RENATO DE ARRUDA PENTEADO PROFESSOR;NORTE 1;SAO PAULO;5,06
103;JOAO BOEMER JARDIM PROFESSOR;NORTE 1;SAO PAULO;5,09
115;FRANCISCO FARIA NETO PROFESSOR;NORTE 1;SAO PAULO;4,81
127;JOSE ALTENFELDER SILVA PROFESSOR;NORTE 1;SAO PAULO;3,04
139;MARIANO DE OLIVEIRA PROFESSOR;NORTE 1;SAO PAULO;2,87
140;SILVIO XAVIER ANTUNES PROFESSOR;NORTE 1;SAO PAULO;3,37
152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;NORTE 1;SAO PAULO;3,37
164;PIO TELLES PEIXOTO PROFESSOR;NORTE 1;SAO PAULO;2,64
176;ZENAIDE VILALVA DE ARAUJO PROFESSORA;NORTE 1;SAO PAULO;3,68
188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;NORTE 1;SAO PAULO;2,56
197;AGENOR COUTO DE MAGALHAES DOUTOR;NORTE 1;SAO PAULO;3,36
206;ALIPIO DE BARROS PROFESSOR;NORTE 1;SAO PAULO;3,7
218;ANTONIO FRANCISCO REDONDO PROFESSOR;NORTE 1;SAO PAULO;2,59
224;CANDIDO GONCALVES GOMIDE PROFESSOR;NORTE 1;SAO PAULO;3,01
231;CHIQUINHA RODRIGUES;NORTE 1;SAO PAULO;5,03
243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;NORTE 1;SAO PAULO;3,78
255;CLODOMIRO CARNEIRO;NORTE 1;SAO PAULO;4,15
267;ERMANO MARCHETTI;NORTE 1;SAO PAULO;1,85
279;GALDINO LOPES CHAGAS PROFESSOR;NORTE 1;SAO PAULO;4,65
280;HUMBERTO DE SOUZA MELLO GENERAL;NORTE 1;SAO PAULO;3,33
292;DALILA DE ANDRADE COSTA PROFESSORA;NORTE 1;SAO PAULO;6,05
309;BENEDITO TOLOSA PROFESSOR;CENTRO;SAO PAULO;2,37
310;ARY BARROSO;CENTRO;SAO PAULO;4,35
322;PEDRO MONTEIRO DO AMARAL CAPITAO;CENTRO;SAO PAULO;2,9
334;MANUEL DA NOBREGA PADRE;CENTRO;SAO PAULO;1,83
346;MANOEL DA NOBREGA PADRE;NORTE 1;SAO PAULO;1,94
358;MATILDE MACEDO SOARES;CENTRO;SAO PAULO;4,12
361;PASQUALE PECCICACCO;NORTE 1;SAO PAULO;2,05
371;ANTONIO JOSE LEITE PROF;NORTE 2;SAO PAULO;3,86
383;ANTOINE DE SAINT EXUPERY;CENTRO;SAO PAULO;2,74
395;JOAQUIM LUIZ DE BRITO PROFESSOR;NORTE 1;SAO PAULO;3,25
401;MARQUES DE TAMANDARE ALMIRANTE;NORTE 1;SAO PAULO;2,62
413;JOAQUIM SILVADO DOUTOR;NORTE 1;SAO PAULO;3,3
425;REPUBLICA DO CHILE;NORTE 2;SAO PAULO;3,81
437;ANGELINA MADUREIRA PROFESSORA;CENTRO;SAO PAULO;2,4
449;TAUNAY VISCONDE DE;CENTRO;SAO PAULO;5,85
450;AUGUSTO RIBEIRO DE CARVALHO PROFESSOR;NORTE 1;SAO PAULO;1,81
462;AUGUSTO MEIRELLES REIS FILHO PROFESSOR;CENTRO;SAO PAULO;2,63
474;MATHIAS AIRES;NORTE 1;SAO PAULO;2,76
498;LUIZ GONZAGA RIGHINI PROFESSOR;CENTRO;SAO PAULO;2,84
504;MARIO TEIXEIRA MARIANO PROFESSOR;CENTRO;SAO PAULO;3,29
516;JOSE CARLOS DIAS PROFESSOR;CENTRO;SAO PAULO;2,92
528;COLOMBO DE ALMEIDA PROFESSOR;CENTRO;SAO PAULO;4,39
536;TARCISIO ALVARES LOBO;CENTRO;SAO PAULO;3,02
541;JOAQUIM NABUCO;CENTRO;SAO PAULO;4,65
553;JACOMO STAVALE PROFESSOR;NORTE 1;SAO PAULO;0,83
565;NOSSA SENHORA DO RETIRO;NORTE 1;SAO PAULO;5,54
577;DULCE FERREIRA BOARIN PROFESSORA;CENTRO;SAO PAULO;4,25
589;PLINIO DAMASCO PENNA PROFESSOR;NORTE 1;SAO PAULO;3,55
590;PAULO SETUBAL;CENTRO;SAO PAULO;4
607;TITO PRATES DA FONSECA;NORTE 2;SAO PAULO;3,45
619;REGENTE FEIJO;NORTE 1;SAO PAULO;2,98
620;ANTONIO EMILIO SOUZA PENNA PROFESSOR;NORTE 1;SAO PAULO;2,99
632;AUGUSTO DE MACEDO COSTA DOUTOR;NORTE 1;SAO PAULO;4,8
644;PIO XII;NORTE 1;SAO PAULO;3,28
656;FRONTINO GUIMARAES;CENTRO;SAO PAULO;3,07
668;ROMULO PERO PROFESSOR;CENTRO;SAO PAULO;1,27
673;PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR;LESTE 5;SAO PAULO;3,75
681;TOLEDO BARBOSA;CENTRO;SAO PAULO;2,83
693;RITA BICUDO PEREIRA PROFA;NORTE 2;SAO PAULO;4,99
700;HORACIO LAFER MINISTRO;LESTE 5;SAO PAULO;4,54
711;NARBAL FONTES PROFESSORA;CENTRO;SAO PAULO;1,82
723;OCTAVIO MENDES DOUTOR;CENTRO;SAO PAULO;2,08
735;PAUL HUGON PROF;NORTE 2;SAO PAULO;1,65
747;MARIA MONTESSORI;LESTE 5;SAO PAULO;2,68
759;FLORINDA CARDOSO PROFESSORA;LESTE 5;SAO PAULO;3,87
760;AFRANIO PEIXOTO;CENTRO;SAO PAULO;1,77
772;VISCONDE DE INHAUMA ALMIRANTE;NORTE 2;SAO PAULO;2,77
784;ANESIA SINCORA PROFESSORA;CENTRO;SAO PAULO;3,9
796;HEROIS DA FEB;LESTE 5;SAO PAULO;5,08
802;IMPERATRIZ LEOPOLDINA;LESTE 5;SAO PAULO;3,03
814;RAQUEL ASSIS BARREIROS PROFA;NORTE 2;SAO PAULO;4,74
838;JOAO VIEIRA DE ALMEIDA;LESTE 5;SAO PAULO;3,55
848;JOAQUIM LEME DO PRADO PROFESSOR;CENTRO;SAO PAULO;2,37
851;JULIO MAIA;LESTE 5;SAO PAULO;4,38
863;JOSE MARCELINO DA FONSECA MAJOR;NORTE 2;SAO PAULO;1,73
875;CASTRO ALVES;NORTE 2;SAO PAULO;2,49
899;PEDRO COSTA DEPUTADO;CENTRO;SAO PAULO;3,52
905;CARLOS DE LAET PROF;NORTE 2;SAO PAULO;3,3
917;ANTONIO LISBOA PROFESSOR;CENTRO;SAO PAULO;1,28
929;ANTONIO VIEIRA PADRE;CENTRO;SAO PAULO;1,51
930;HOMEM DE MELLO BARAO;CENTRO;SAO PAULO;1,99
942;BUENOS AIRES;CENTRO;SAO PAULO;2,7
966;GONCALVES DIAS;CENTRO;SAO PAULO;1,61
978;CASIMIRO DE ABREU;CENTRO;SAO PAULO;2,46
985;REPUBLICA DA BOLIVIA;CENTRO;SAO PAULO;3,17
1004;EURICO FIGUEIREDO PROF;NORTE 2;SAO PAULO;3,41
1016;ALBERTO CARDOSO DE MELLO NETO DR;NORTE 2;SAO PAULO;2,57
1028;VICTOR DOS SANTOS CUNHA PROF;NORTE 2;SAO PAULO;4,07
1036;SEBASTIAO DE SOUZA BUENO PROF;NORTE 2;SAO PAULO;2,94
1041;JOHANN GUTENBERG;NORTE 2;SAO PAULO;3,74
1053;LUIZ AMARAL WAGNER PROF;NORTE 2;SAO PAULO;4,54
1065;DAVID EUGENIO DOS SANTOS PROF;NORTE 2;SAO PAULO;2,24
1077;JUDITH GUIMARAES DOS SANTOS PROFA;NORTE 2;SAO PAULO;3,26
1089;GABRIELA MISTRAL;NORTE 2;SAO PAULO;5,2
1090;JOSE MARIA REYS PROF;NORTE 2;SAO PAULO;3,13
1119;EURIPEDES DE CASTRO;NORTE 2;SAO PAULO;4,69
1120;EXPEDICIONARIO BRASILEIRO;CENTRO;SAO PAULO;1,45
1132;PEDRO ALEXANDRINO;NORTE 2;SAO PAULO;2,89
1144;JULIO PESTANA;NORTE 2;SAO PAULO;2,64
1156;SILVA JARDIM;NORTE 2;SAO PAULO;2,85
1168;ALFREDO INACIO TRINDADE;NORTE 2;SAO PAULO;1,83
1173;ALBINO CESAR;NORTE 2;SAO PAULO;1,73
1181;RAFAEL DE MORAES LIMA PROF;NORTE 2;SAO PAULO;3,3
1193;PHILOMENA BAYLAO PROFA;NORTE 2;SAO PAULO;4,97
1200;LAEL DE MOURA PRADO PROF;NORTE 2;SAO PAULO;2,98
1211;MIGUEL VIEIRA FERREIRA DR;NORTE 2;SAO PAULO;4,3
1223;MARIA PAULA MARCONDES DOMINGUES PROFA;NORTE 2;SAO PAULO;2,94
1235;CYRENE DE OLIVEIRA LAET DONA;NORTE 2;SAO PAULO;4,79
1247;RUY BARBOSA CONSELHEIRO;NORTE 2;SAO PAULO;0,95
1259;JOAO LIGABUE CONEGO;NORTE 2;SAO PAULO;2,28
1272;ANGELO BORTOLO;NORTE 2;SAO PAULO;3,05
1284;AMENAIDE BRAGA DE QUEIROZ PROFA;NORTE 2;SAO PAULO;2,46
1296;CARMOSINA MONTEIRO VIANNA PROFA;NORTE 2;SAO PAULO;3,55
1302;ARNALDO BARRETO;NORTE 2;SAO PAULO;3,93
1314;CASSIO DA COSTA VIDIGAL;NORTE 2;SAO PAULO;5,37
1326;PEDRO DE MORAES VICTOR DR;NORTE 2;SAO PAULO;5,47
1338;MARIA ANGELITA SAYAGO LAET PROFA;NORTE 2;SAO PAULO;4,59
1348;JOSE DO AMARAL MELLO PROF;NORTE 2;SAO PAULO;5,04
1351;ADEMAR HIROSHI SUDA PROF;NORTE 2;SAO PAULO;3,94
1363;SAO PAULO;CENTRO;SAO PAULO;2,45
1375;LOUREIRO JUNIOR PROFESSOR;LESTE 5;SAO PAULO;1,51
1387;THEODORO DE MORAES PROFESSOR;LESTE 5;SAO PAULO;2,78
1399;PAULO MONTE SERRAT PROFESSOR;LESTE 5;SAO PAULO;2,44
1405;ROMAO PUIGARI;CENTRO;SAO PAULO;4,55
1417;ISAI LEIRNER;LESTE 5;SAO PAULO;2,64
1430;ANDRE OHL;LESTE 5;SAO PAULO;2,59
1442;ANDRE XAVIER GALLICHO PROFESSOR;LESTE 5;SAO PAULO;2,32
1454;ANTONIO FIRMINO DE PROENCA PROF;CENTRO;SAO PAULO;3,58
1466;AMADEU AMARAL;LESTE 5;SAO PAULO;4,78
